ETSIdentifierId,Installation_INSPIRE_ID,reportingYear,ETSIdentifier
287,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005681.ProductionInstallation",2017,"57"
288,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005708.ProductionInstallation",2017,"420"
289,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005733.ProductionInstallation",2017,"398"
290,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1100000000.ProductionInstallation",2017,"398"
291,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1100000001.ProductionInstallation",2017,"398"
292,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005737.ProductionInstallation",2017,"215"
293,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005788.ProductionInstallation",2017,"59331104"
294,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0800000324.ProductionInstallation",2017,"59331104"
295,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1900008450.ProductionInstallation",2017,"59331104"
296,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1900008451.ProductionInstallation",2017,"59331104"
297,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1900008452.ProductionInstallation",2017,"59331104"
298,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005810.ProductionInstallation",2017,"206135"
299,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005812.ProductionInstallation",2017,"6"
300,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005817.ProductionInstallation",2017,"239"
301,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000008672.ProductionInstallation",2017,"3"
302,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005822.ProductionInstallation",2017,"533"
303,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000014589.ProductionInstallation",2017,"533"
304,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0100000025.ProductionInstallation",2017,"533"
305,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1900022237.ProductionInstallation",2017,"533"
